"sdate","stationcode","itemcode","timecode","value"
"20110616180000","3","90303","RH02","0"
"20110616180000","3","90319","RH02","0"
"20110616180000","3","90319","RH24","0"
"20110616180000","3","90303","RH24","0"
"20110616200000","3","90319","RH02","0"
"20110616200000","3","90303","RH02","0"
"20110616200000","3","90319","RH24","0"
"20110616200000","3","90303","RH24","0"
"20110616220000","3","90303","RH02","0"
"20110616220000","3","90319","RH02","0"
"20110616220000","3","90303","RH24","0"
"20110616220000","3","90319","RH24","0"
"20110617000000","3","90319","RH02","0"
"20110617000000","3","90303","RH02","0"
"20110617000000","3","90319","RH24","0"
"20110617000000","3","90303","RH24","0"
"20110617020000","3","90319","RH02","0"
"20110617020000","3","90303","RH02","0"
"20110617020000","3","90319","RH24","0"
"20110617020000","3","90303","RH24","0"
